user,sku,category,query,click_time,query_time
000000df17cd56a5df4a94074e133c9d4739fae3,2125233,abcat0101001,"Televisiones Panasonic  50 pulgadas","2011-09-01 23:44:52.533","2011-09-01 23:43:59.752"
000001928162247ffaf63185cd8b2a244c78e7c6,2009324,abcat0101001,Sharp,"2011-09-05 12:25:37.42","2011-09-05 12:25:01.187"
000017f79c2b5da56721f22f9fdd726b13daf8e8,1517163,pcmcat193100050014,nook,"2011-08-24 12:56:58.91","2011-08-24 12:55:13.012"
000017f79c2b5da56721f22f9fdd726b13daf8e8,2877125,abcat0101001,rca,"2011-10-25 07:18:14.722","2011-10-25 07:16:51.759"
000017f79c2b5da56721f22f9fdd726b13daf8e8,2877134,abcat0101005,rca,"2011-10-25 07:19:51.697","2011-10-25 07:16:51.759"
00001ff8394a2d9bd7adffb1547180bf5bbfc4e5,2416092,pcmcat143200050016,"Flat screen tvs","2011-09-07 15:54:47.956","2011-09-07 15:53:24.353"
000027e2f86b55c901882a9d47ac7feec964825d,3108172,pcmcat247400050001,macbook,"2011-09-25 11:07:02.603","2011-09-25 11:05:26.996"
0000323223cd657f7e063ddb83f32b332d46e920,2264036,pcmcat171900050028,"Blue tooth headphones","2011-09-23 12:40:20.871","2011-09-23 12:40:14.845"
00003cb3f85244c652f22c1daf11aed35d5ab7f6,8280834,abcat0107004,"Tv antenna","2011-08-29 13:37:32.903","2011-08-29 13:33:23.249"
0000404374364b75c80d384c2a8c1d379237a2d9,2740208,pcmcat186100050006,"memory card","2011-10-25 22:55:58.683","2011-10-25 22:54:45.926"
0000517733c9766b4eeef84f2eb8720b3af3233f,2584273,pcmcat138100050040,"AC power cord","2011-09-11 12:48:44.139","2011-09-11 12:46:18.466"
00006d8bb4bcc66f1676237629968277fb7a8dc5,1230537,pcmcat201900050009,"Zagg iPhone","2011-10-18 17:21:33.919","2011-10-18 17:21:26.57"
00007557d9b11f2f1a99792317963d30174171ba,3168067,cat02713,"Watch The Throne","2011-09-04 10:55:20.427","2011-09-04 10:55:10.874"
0000776d7bf35b984ca8e3671327a7ac1d07a86c,7997055,pcmcat224000050003,"Remote control extender","2011-10-28 16:26:29.203","2011-10-28 16:26:20.358"
000086ad8ef4acaa7b1624b47d981fc2f7bc8af9,2009041,pcmcat233600050006,Camcorder,"2011-10-10 00:35:26.858","2011-10-10 00:34:30.708"
0000870469b85f38ceba4b1add61419eb8da9dc5,1988047,abcat0707001,3ds,"2011-09-23 22:14:08.965","2011-09-23 22:13:37.43"
0000aed826178a7929389c0c3d68bd0124c3dec1,1686079,abcat0410020,hoya,"2011-09-10 12:04:53.645","2011-09-10 12:04:30.805"
0000bf4a5fc3c0fc9faaef83b1048927962ef6ab,3770439,pcmcat144700050004,"wireless headphones","2011-10-23 11:44:35.074","2011-10-23 11:43:27.11"
0000bf4a5fc3c0fc9faaef83b1048927962ef6ab,2602403,pcmcat144700050004,"wireless headphones","2011-10-23 11:45:24.416","2011-10-23 11:43:27.11"
0000c4e9d7075985d1020c456e7ce36f83f834eb,2126065,abcat0101001,"Samsung 40","2011-09-28 17:27:11.184","2011-09-28 17:26:15.832"
00010d7a49fb773720d7b7204f2f7375142cc126,1162439,abcat0701001,Xbox,"2011-09-03 09:15:35.939","2011-09-03 09:14:36.469"
00010d7a49fb773720d7b7204f2f7375142cc126,2303202,abcat0701001,Xbox,"2011-09-03 09:16:54.654","2011-09-03 09:14:36.469"
00010d7a49fb773720d7b7204f2f7375142cc126,1126887,pcmcat232900050029,Xbox360,"2011-09-03 09:32:09.398","2011-09-03 09:31:20.142"
00010d7a49fb773720d7b7204f2f7375142cc126,1260591,abcat0515022,"Joy stick","2011-09-19 21:17:48.555","2011-09-19 21:16:49.341"
00010d7a49fb773720d7b7204f2f7375142cc126,5876867,abcat0515023,"Joy stick","2011-09-19 21:18:08.158","2011-09-19 21:16:49.341"
00010d87c0ea748bdc1db5c6b560e84b4f380506,3425255,cat02015,Zookeeper,"2011-09-06 17:14:53.023","2011-09-06 17:12:32.784"
000126150c17acb66664a42c47d5dba399311783,9755322,pcmcat247400050001,Macbook,"2011-09-26 15:12:48.533","2011-09-26 15:12:33.537"
000126150c17acb66664a42c47d5dba399311783,2061031,pcmcat214000050002,"Panasomic lumix","2011-10-06 14:54:27.202","2011-10-06 14:54:12.652"
0001271194ff4cd582cd67c03d58f0d3938382e6,1432551,pcmcat144700050004,Ipad,"2011-10-27 21:18:51.266","2011-10-27 21:17:50.033"
00013e57905978ad8c9748b36ef33bf5b89a9cce,9132379,cat02015,anime,"2011-10-26 00:42:31.404","2011-10-26 00:42:00.805"
00014aac7ef84270dab58af1c92b79685b89b9b9,9604444,pcmcat165900050048,"blue tooth","2011-10-21 18:40:56.313","2011-10-21 18:38:55.259"
00015fd3d8c314df71a64754e220aac30aaa9b22,9770615,pcmcat166600050000,"Cable management","2011-10-05 10:09:22.104","2011-10-05 10:08:26.678"
00015fd3d8c314df71a64754e220aac30aaa9b22,8735586,pcmcat166600050000,"Cable management","2011-10-05 10:09:34.283","2011-10-05 10:08:26.678"
00015fd3d8c314df71a64754e220aac30aaa9b22,9695793,pcmcat230800050017,"Cable management","2011-10-05 10:10:35.552","2011-10-05 10:08:26.678"
000165fa12a2052cf4da7318cb4b2843b41d7a48,1092403,abcat0703002,"Driver ps3","2011-09-23 18:23:42.24","2011-09-23 18:23:30.109"
000166190f48c7610228bdb845c82c4c11871734,2417037,pcmcat195200050001,"Fisheye lens","2011-09-21 06:55:39.393","2011-09-21 06:53:49.284"
00016ac345cf3220c4f56855d7021693290796c2,9775134,abcat0302037,alpine,"2011-10-07 08:07:40.295","2011-10-07 08:06:49.896"
00016ac345cf3220c4f56855d7021693290796c2,3271964,pcmcat223000050008,punch,"2011-10-07 08:11:41.056","2011-10-07 08:10:54.935"
00016ac345cf3220c4f56855d7021693290796c2,3271982,abcat0302003,punch,"2011-10-07 08:12:20.766","2011-10-07 08:10:54.935"
00016bbb306e305d68e177ac1e22e091bf81a6e7,1125779,pcmcat232900050031,washer,"2011-09-01 22:13:47.332","2011-09-01 22:13:15.762"
00017f7beeac02736c0ce7bf1e75f3010939b34e,1831054,abcat0101001,"lcd tv","2011-09-28 07:26:32.153","2011-09-28 07:26:21.476"
00018640b0978982d1acaa7649476b2f52999e53,1517163,pcmcat193100050014,tablet,"2011-10-23 23:21:31.474","2011-10-23 23:19:41.601"
000189195b3b3b0a4a02cd61d600aaa13fa01132,9894452,abcat0508009,"Microsoft office","2011-09-20 17:02:55.808","2011-09-20 17:01:29.669"
00018bd07703a3d9040ae56de3f9417edc043385,9414671,abcat0503013,"Dsl router","2011-09-18 14:40:00.393","2011-09-18 14:39:36.076"
00018bd07703a3d9040ae56de3f9417edc043385,2847643,abcat0503013,"Dsl router","2011-09-18 14:42:00.007","2011-09-18 14:39:36.076"
00018ef0bcccb5ad919cc89875c850b44fbd4c83,9557712,cat02672,"Nirvana bleach","2011-09-10 18:15:06.427","2011-09-10 18:14:51.804"
00019eb51e019034e8b666e36c06ca469c160e9e,2138389,abcat0101001,"lcd tv","2011-10-09 09:58:14.524","2011-10-09 09:58:11.367"
0001aa5d7cbd50d4d73c1e34a1d21fccdc5fdede,2355091,abcat0101001,"Panasonic 3d tv","2011-09-01 21:30:39.259","2011-09-01 21:28:18.776"
0001be1731ee7d1c519bc7e87110c9eb880cb396,8993388,abcat0715001,Hdmi,"2011-08-31 20:20:52.635","2011-08-31 20:18:00.849"
0001be1731ee7d1c519bc7e87110c9eb880cb396,8427106,abcat0107020,Hdmi,"2011-08-31 20:22:29.411","2011-08-31 20:18:00.849"
0001be1731ee7d1c519bc7e87110c9eb880cb396,1649294,abcat0715001,"Gunnar eyewear","2011-09-23 17:13:36.175","2011-09-23 17:12:18.389"
0001bfa0c494c01f9f8c141c476c11bb4625a746,17240521,cat02015,refrigerator,"2011-10-19 23:43:51.71","2011-10-19 23:43:06.485"
0001cae2f759a64552cc137a42f22607a0b0e760,3108109,pcmcat247400050001,mac,"2011-10-23 16:47:16.475","2011-10-23 16:45:17.289"
